,Playlist Name,Description,Tracks,Followers,URL
406,Top Female Artists of 2016 - USA,Listen to the most streamed female artists in the US this year!,20,230,https://open.spotify.com/playlist/37i9dQZF1DWWoCDtOBjhpE
407,Spotify Singles: Covers,"The songs you love, in ways you’ve never heard before. Cover: Zoe Wees, YUNGBLUD, and FLETCHER.",150,383962,https://open.spotify.com/playlist/37i9dQZF1DWZqyWCBK6QTt
408,Best of 2016: Folk & Americana,Take a look back on some of the year's top tracks in roots music. We'll be adding more of your favorites throughout December. #SpotifyFolk2016,94,292,https://open.spotify.com/playlist/0fmNiEOXSfBfurQwf4gG5L
409,Best of 2016:  Hot Country,Enjoy the top streamed country songs of 2016 right here! Cover: Dan + Shay,50,8822,https://open.spotify.com/playlist/7g3zHOim2XylTlM7Oittr8
410,Guest List: Orb,"Orb's official Spotify Gaming playlist! Full of high BPM, kick-ass melodies and euphoria.",38,1941,https://open.spotify.com/playlist/2O0Nf9Mi5tM17PM7Ns6Fgu
411,Fangirls Run the World,Fangirls get a lot of credit for the influence they wield. These tracks show the full force of these empowered listeners.,20,85316,https://open.spotify.com/playlist/37i9dQZF1DXboQCHLEaHcr
412,Black Lives Matter,"Songs of empowerment and pride. Photography: <a href=""https://www.instagram.com/waheedpix/"">Adreinne Waheed</a>",60,695114,https://open.spotify.com/playlist/37i9dQZF1DWWAqc46ZJdZf
413,SXSW: HipHopUpNext,"Hip-Hop's next generation takes over SXSW! Cover: <a href=""spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ"">Aminé</a>.",25,19884,https://open.spotify.com/playlist/37i9dQZF1DX5PuwKY2VZBZ
414,Women of Experimental,"Women who experiment with electronic loops, strings, voice and other cosmic delights. Cover: Loraine James",71,44974,https://open.spotify.com/playlist/37i9dQZF1DWY7uXxMycXfq
415,Power To The People,Remembering the voices that have always spoken truth to power.,41,85542,https://open.spotify.com/playlist/37i9dQZF1DXbWHkfjljXoE
416,Artists Den + Spotify,"Visit <a href=""http://artistsden.com/zacbrownband"">ArtistsDen.com</a> to win tickets to see Zac Brown Band this summer and head to <a href=""https://open.spotify.com/show/5d0QhqhbJVt4YRORde0yR8"">Spotify Mobile</a> to watch clips of their incredible Artists Den show.",16,871,https://open.spotify.com/playlist/1HdxEroWca3L8JR3lvnolH
417,Women in Music | Stories & Songs,"Listen to a collection of inspiring women in music as they share the stories of their music icons, from Lera Lynn and Kelly Clarkson to Zendaya and Terri Nunn.",142,39,https://open.spotify.com/playlist/1zriHsmiRJmTThtQk8UWPk
